"TEMA","COMPONENTE","PROGRAMA","META DE PRODUCTO","COMUNAS","CORREGIMIENTOS","OBSERVACIÓN","UBICACIÓN SECTOR","AÑO"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","2. corregimiento arabia","mmto de via","la orqueta de libia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","2. corregimiento arabia","mmto de via","el estanquillo sucre","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","3. corregimiento caimalito","mmtto de via","via el azufral","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","3. corregimiento caimalito","mmtto de via","via el azufral","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","3. corregimiento caimalito","mmtto de via","via la carbonera-sector la iglesia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","3. corregimiento caimalito","mantenimiento de vía en asfalto 424,30 m2","resaltos y reparcheos caimalito","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","3. corregimiento caimalito","mmtto de via","via zona franca","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","mantenimiento de vía en asfalto","entrada 3","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","mantenimiento de vía en asfalto","via ukumari","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","construccion resaltos","via galicia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","mantenimiento de vía en asfalto","via ukumari","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","construcción de resaltos con material asfaltico 66,13 m2","resaltos entrada ukumarí y frente a galicia mall plaza","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","construcción de resaltos con material asfaltico 97,83 m2","resaltos esperanza galicia y reparcheo en entrada a galicia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","construcción de resaltos con material asfaltico 59,87 m2","resaltos portal de galicia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","mantenimiento de vía en asfalto","vía entrada 4","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","mantenimiento de vía en asfalto","vía malabar sector cauquillo","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","4. corregimiento cerritos","riegue de trituradodentro del parque","vía parque ukumari","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","contratista (construccion de trasversal)","via la florida - plan el manzano","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","soldadura (construccion pasamanos)","via principal la florida","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","roceria-limpieza de cunetas","via principal la florida","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","mantenimiento de via","via guayaquil casa loma, los galpones","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","brigada de mantenimiento","cancha la florida","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","mantenimiento de vía en asfalto","plan el manzano","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","mantenimiento de vía en asfalto (74,87 m2)","reparcheos puente el porvenir vía a la florida","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","9. corregimiento la florida","mantenimiento y/o mejoramiento en tramo de la via pereira- la florida del municipio de pereira","via pereira - la florida","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","11. corregimiento puerto caldas","asfalto(resaltos)","via puerto caldas","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","11. corregimiento puerto caldas","mantenimiento via","via el cofre","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","11. corregimiento puerto caldas","mantenimiento via","via san isidro","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","11. corregimiento puerto caldas","mantenimiento via","vía el cofre alto","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","11. corregimiento puerto caldas","nivelación terreno y mantenimiento de vía","vía sector el puente","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","11. corregimiento puerto caldas","mantenimiento de vía","vía la cadena san isidro","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía amoladora alta - la convención - la bodega","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía cruce alto erazo - llano grande - pital de colombia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía combia alta - san vicente - maracaibo","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","via santander - el naranjal","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía crucero de combia - la honda - límite marsella","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía amoladora alta la convención","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía betania - el peligro","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía la betania san luis","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía combia alta - bellavista","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía combia baja - villa mónaco","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía cruce alto erazo - llano grande - pital de colombia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía parque industrial - límite dosquebradas (la esperanza)","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","retiro de derrumbe. atencion de emergencia","vía amoladora baja - amoladora alta","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","mantenimiento de via","via la honda","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via la honda - el guayabo","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via la honda - san marino","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via san vicente","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via san vicente - betania","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","mantenimiento de via","via la siria - marceliano","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","mantenimiento de via","via la convencion","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","traslado material - convites, mmtto de via","via alto erazo - los mangos - el pital","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","cero huecos","via amoladora","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via amoladora - la convencion","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via el pital - amoladora","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","mantenimiento de via","via el pital - los lagos","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via el pomo - el eden","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via la coca – la bodega","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via la convencion","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via la convecion - la bodega","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","mantenimiento de via","via la siria","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","via san vicente - la convencion","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","vía la convención vereda san luis","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","5. corregimiento combia alta","mantenimiento de via","san vicente alto vereda el rayo","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","6. corregimiento combia baja","mantenimiento de vía en asfalto (101.43 m2)","cero hueco vía salida a combia","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía la estrella morrón - el chocho - canceles","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía los lagos - el chocho","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía rincón de la bella","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía el crucero de combia al pital","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía casa loma - la colonia - corozal","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía la estrella morrón","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía el corozal la bella","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía los lagos - el chocho","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía venecia - cruce mundo nuevo","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","mantenimiento de via","via el chocho - estrella morron - la mina","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","limpieza trasversal","via la estrella los lagos","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","limpieza trasversal","via la estrella los lagos","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","atención derrumbe","ví mundo nuevo","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","8. corregimiento la bella","comvite para traslado de material","vía la bulgaria","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","7. corregimiento estrella la palmilla","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía la palmerita - el gurrio - la estrella","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","7. corregimiento estrella la palmilla","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía el aguacate la selva","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","7. corregimiento estrella la palmilla","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía la brillante banca del ferrocarril (cruce la selva)","2,024"
"Mantenimiento km de vías rurales","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP184: Realizar mantenimiento, adecuación y/o rehabilitación a 2.000 kilómetros de vías rurales en el Municipio.","20. no aplica","7. corregimiento estrella la palmilla","realizó perfilado
de la banca, adecuación de cunetas,
aplicación de afirmado y/o sub base y
compactación","vía el contento la selva","2,024"
