"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD","UNIDAD DE MEDIDA"
"2013 Aug 08 12:00:00 AM","05","ANTIOQUIA","05761","SOPETRAN","1","UNIDAD"
"2013 Aug 08 12:00:00 AM","76","VALLE DEL CAUCA","76233","DAGUA","1","UNIDAD"
"2013 Aug 08 12:00:00 AM","05","ANTIOQUIA","05660","SAN LUIS","1","UNIDAD"
"2013 Aug 08 12:00:00 AM","54","NORTE DE SANTANDER","54553","PUERTO SANTANDER","2","UNIDAD"
"2013 Aug 08 12:00:00 AM","50","META","50683","SAN JUAN DE ARAMA","2","UNIDAD"
"2013 Aug 08 12:00:00 AM","81","ARAUCA","81065","ARAUQUITA","1","UNIDAD"
"2013 Aug 07 12:00:00 AM","27","CHOCO","27077","BAJO BAUDO","1","UNIDAD"
"2013 Aug 07 12:00:00 AM","05","ANTIOQUIA","05079","BARBOSA","1","UNIDAD"
"2013 Aug 07 12:00:00 AM","27","CHOCO","27800","UNGUIA","4","UNIDAD"
"2013 Aug 07 12:00:00 AM","52","NARIÑO","52250","EL CHARCO","1","UNIDAD"
"2013 Aug 07 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2013 Aug 07 12:00:00 AM","50","META","50330","MESETAS","1","UNIDAD"
"2013 Aug 06 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","10","UNIDAD"
"2013 Aug 06 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2013 Aug 06 12:00:00 AM","13","BOLIVAR","13458","MONTECRISTO","1","UNIDAD"
"2013 Aug 05 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2013 Aug 05 12:00:00 AM","50","META","50370","URIBE","2","UNIDAD"
"2013 Aug 05 12:00:00 AM","05","ANTIOQUIA","05172","CHIGORODO","2","UNIDAD"
"2013 Aug 04 12:00:00 AM","27","CHOCO","27077","BAJO BAUDO","1","UNIDAD"
"2013 Aug 04 12:00:00 AM","18","CAQUETA","18460","MILAN","1","UNIDAD"
"2013 Aug 04 12:00:00 AM","95","GUAVIARE","95200","MIRAFLORES","1","UNIDAD"
"2013 Aug 04 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","1","UNIDAD"
"2013 Aug 04 12:00:00 AM","54","NORTE DE SANTANDER","54720","SARDINATA","2","UNIDAD"
"2013 Aug 03 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","1","UNIDAD"
"2013 Aug 03 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","4","UNIDAD"
"2013 Aug 03 12:00:00 AM","50","META","50370","URIBE","1","UNIDAD"
"2013 Aug 02 12:00:00 AM","05","ANTIOQUIA","05756","SONSON","1","UNIDAD"
"2013 Aug 02 12:00:00 AM","27","CHOCO","27615","RIOSUCIO","1","UNIDAD"
"2013 Aug 02 12:00:00 AM","86","PUTUMAYO","86569","PUERTO CAICEDO","1","UNIDAD"
"2013 Aug 02 12:00:00 AM","52","NARIÑO","52250","EL CHARCO","3","UNIDAD"
"2013 Aug 02 12:00:00 AM","54","NORTE DE SANTANDER","54239","DURANIA","1","UNIDAD"
"2013 Aug 02 12:00:00 AM","19","CAUCA","19256","EL TAMBO","2","UNIDAD"
"2013 Aug 01 12:00:00 AM","54","NORTE DE SANTANDER","54800","TEORAMA","2","UNIDAD"
"2013 Aug 01 12:00:00 AM","50","META","50370","URIBE","1","UNIDAD"
"2013 Aug 01 12:00:00 AM","52","NARIÑO","52621","ROBERTO PAYAN","1","UNIDAD"
"2013 Jul 31 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","1","UNIDAD"
"2013 Jul 31 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","3","UNIDAD"
"2013 Jul 31 12:00:00 AM","19","CAUCA","19418","LOPEZ DE MICAY","1","UNIDAD"
"2013 Jul 30 12:00:00 AM","54","NORTE DE SANTANDER","54206","CONVENCION","1","UNIDAD"
"2013 Jul 30 12:00:00 AM","76","VALLE DEL CAUCA","76275","FLORIDA","2","UNIDAD"
"2013 Jul 30 12:00:00 AM","54","NORTE DE SANTANDER","54250","EL TARRA","4","UNIDAD"
"2013 Jul 30 12:00:00 AM","50","META","50711","VISTAHERMOSA","1","UNIDAD"
"2013 Jul 30 12:00:00 AM","54","NORTE DE SANTANDER","54670","SAN CALIXTO","1","UNIDAD"
"2013 Jul 30 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","1","UNIDAD"
"2013 Jul 29 12:00:00 AM","19","CAUCA","19517","PAEZ","1","UNIDAD"
"2013 Jul 29 12:00:00 AM","54","NORTE DE SANTANDER","54800","TEORAMA","1","UNIDAD"
"2013 Jul 29 12:00:00 AM","54","NORTE DE SANTANDER","54001","CUCUTA","1","UNIDAD"
"2013 Jul 29 12:00:00 AM","19","CAUCA","19212","CORINTO","1","UNIDAD"
"2013 Jul 29 12:00:00 AM","85","CASANARE","85410","TAURAMENA","1","UNIDAD"
"2013 Jul 28 12:00:00 AM","05","ANTIOQUIA","05045","APARTADO","1","UNIDAD"
"2013 Jul 28 12:00:00 AM","99","VICHADA","99773","CUMARIBO","1","UNIDAD"
"2013 Jul 27 12:00:00 AM","54","NORTE DE SANTANDER","54250","EL TARRA","1","UNIDAD"
"2013 Jul 27 12:00:00 AM","52","NARIÑO","52473","MOSQUERA","1","UNIDAD"
"2013 Jul 27 12:00:00 AM","54","NORTE DE SANTANDER","54800","TEORAMA","1","UNIDAD"
"2013 Jul 27 12:00:00 AM","50","META","50350","LA MACARENA","1","UNIDAD"
"2013 Jul 26 12:00:00 AM","05","ANTIOQUIA","05660","SAN LUIS","1","UNIDAD"
"2013 Jul 26 12:00:00 AM","54","NORTE DE SANTANDER","54250","EL TARRA","1","UNIDAD"
"2013 Jul 26 12:00:00 AM","05","ANTIOQUIA","05172","CHIGORODO","8","UNIDAD"
"2013 Jul 26 12:00:00 AM","52","NARIÑO","52036","ANCUYA","2","UNIDAD"
"2013 Jul 25 12:00:00 AM","19","CAUCA","19212","CORINTO","1","UNIDAD"
"2013 Jul 25 12:00:00 AM","95","GUAVIARE","95001","SAN JOSE DEL GUAVIARE","5","UNIDAD"
"2013 Jul 25 12:00:00 AM","54","NORTE DE SANTANDER","54172","CHINACOTA","1","UNIDAD"
"2013 Jul 25 12:00:00 AM","19","CAUCA","19256","EL TAMBO","1","UNIDAD"
"2013 Jul 25 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","3","UNIDAD"
"2013 Jul 25 12:00:00 AM","52","NARIÑO","52621","ROBERTO PAYAN","3","UNIDAD"
"2013 Jul 25 12:00:00 AM","13","BOLIVAR","13688","SANTA ROSA DEL SUR","1","UNIDAD"
"2013 Jul 25 12:00:00 AM","19","CAUCA","19130","CAJIBIO","1","UNIDAD"
"2013 Jul 24 12:00:00 AM","76","VALLE DEL CAUCA","76100","BOLIVAR","1","UNIDAD"
"2013 Jul 24 12:00:00 AM","50","META","50590","PUERTO RICO","1","UNIDAD"
"2013 Jul 24 12:00:00 AM","17","CALDAS","17541","PENSILVANIA","1","UNIDAD"
"2013 Jul 23 12:00:00 AM","20","CESAR","20228","CURUMANI","4","UNIDAD"
"2013 Jul 23 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","6","UNIDAD"
"2013 Jul 23 12:00:00 AM","99","VICHADA","99773","CUMARIBO","1","UNIDAD"
"2013 Jul 22 12:00:00 AM","27","CHOCO","27615","RIOSUCIO","7","UNIDAD"
"2013 Jul 22 12:00:00 AM","05","ANTIOQUIA","05660","SAN LUIS","1","UNIDAD"
"2013 Jul 22 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","1","UNIDAD"
"2013 Jul 21 12:00:00 AM","19","CAUCA","19212","CORINTO","16","UNIDAD"
"2013 Jul 21 12:00:00 AM","99","VICHADA","99773","CUMARIBO","1","UNIDAD"
"2013 Jul 21 12:00:00 AM","85","CASANARE","85230","OROCUE","1","UNIDAD"
"2013 Jul 20 12:00:00 AM","05","ANTIOQUIA","05120","CACERES","2","UNIDAD"
"2013 Jul 19 12:00:00 AM","50","META","50590","PUERTO RICO","1","UNIDAD"
"2013 Jul 19 12:00:00 AM","19","CAUCA","19050","ARGELIA","2","UNIDAD"
"2013 Jul 19 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","2","UNIDAD"
"2013 Jul 19 12:00:00 AM","19","CAUCA","19110","BUENOS AIRES","1","UNIDAD"
"2013 Jul 18 12:00:00 AM","54","NORTE DE SANTANDER","54250","EL TARRA","1","UNIDAD"
"2013 Jul 18 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2013 Jul 18 12:00:00 AM","23","CORDOBA","23682","SAN JOSE DE URE","1","UNIDAD"
"2013 Jul 18 12:00:00 AM","18","CAQUETA","18150","CARTAGENA DEL CHAIRA","1","UNIDAD"
"2013 Jul 17 12:00:00 AM","19","CAUCA","19022","ALMAGUER","1","UNIDAD"
"2013 Jul 17 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","1","UNIDAD"
"2013 Jul 17 12:00:00 AM","23","CORDOBA","23682","SAN JOSE DE URE","1","UNIDAD"
"2013 Jul 17 12:00:00 AM","27","CHOCO","27615","RIOSUCIO","1","UNIDAD"
"2013 Jul 17 12:00:00 AM","52","NARIÑO","52621","ROBERTO PAYAN","1","UNIDAD"
"2013 Jul 16 12:00:00 AM","76","VALLE DEL CAUCA","76275","FLORIDA","1","UNIDAD"
